time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-07-16T13:02:10.080Z,14.6145,147.0217,34.34,5.2,mb,,114,2.324,1.21,us,us20002xwj,2015-07-16T21:04:40.969Z,"151km ESE of Saipan, Northern Mariana Islands",earthquake
2015-07-16T11:01:47.230Z,13.8905,-58.4939,13.41,5.7,mww,,41,1.274,0.89,us,us20002xw5,2015-07-17T16:06:59.000Z,"133km NE of Bathsheba, Barbados",earthquake
2015-07-16T10:48:05.070Z,-29.4964,-71.9138,10,5.3,mb,,104,1.165,1.32,us,us20002xvy,2015-07-16T19:21:51.000Z,"74km NW of Coquimbo, Chile",earthquake
2015-07-16T09:53:10.120Z,14.1072,-89.8327,10,4.3,mb,,149,0.541,1.03,us,us20002xvw,2015-07-16T17:55:57.070Z,"2km S of Zapotitlan, Guatemala",earthquake
2015-07-16T06:37:49.490Z,-7.2915,-107.3644,10,4.5,mb,,219,26.181,0.87,us,us20002xvm,2015-07-16T14:40:29.499Z,"Central East Pacific Rise",earthquake
2015-07-16T06:21:56.380Z,55.3388,-35.2546,10,4.7,mb,,69,7.918,0.95,us,us20002xvk,2015-07-16T14:24:37.454Z,"Reykjanes Ridge",earthquake
2015-07-16T06:13:26.880Z,33.2292,139.455,10,4.8,mb,,92,0.321,0.63,us,us20002xve,2015-07-16T14:16:07.884Z,"36km WNW of Hachijo-jima, Japan",earthquake
2015-07-16T01:58:53.950Z,-26.8577,-176.1994,10,5.2,mb,,53,2.827,1.42,us,us20002xu6,2015-07-16T10:01:34.327Z,"South of the Fiji Islands",earthquake
2015-07-16T01:52:11.941Z,41.8947,-119.636,10.1063,4.61,ml,5,217.51,0.132,0.1861,nn,nn00501944,2015-07-17T18:37:21.278Z,"64km ESE of Lakeview, Oregon",earthquake
2015-07-16T01:15:49.300Z,33.2318,139.4794,10,4.8,mb,,92,0.303,0.9,us,us20002xtr,2015-07-16T09:18:20.332Z,"34km WNW of Hachijo-jima, Japan",earthquake
2015-07-16T01:15:09.730Z,41.3671,142.5415,39.78,4.9,mb,,133,0.794,0.8,us,us20002xtp,2015-07-16T08:46:56.100Z,"108km S of Shizunai, Japan",earthquake
2015-07-15T22:16:19.630Z,18.8134,145.1329,520.49,5,mb,,44,5.2,0.73,us,us20002xt0,2015-07-16T06:18:46.338Z,"56km W of Agrihan, Northern Mariana Islands",earthquake
2015-07-15T21:14:09.750Z,42.5874,141.6056,128.42,4.4,mb,,72,0.28,0.73,us,us20002xse,2015-07-16T05:16:37.659Z,"5km S of Tomakomai, Japan",earthquake
2015-07-15T17:19:50.720Z,-32.0822,-69.236,112.02,4.6,mb,,55,0.711,1.06,us,us20002xpr,2015-07-15T22:46:18.004Z,"75km SW of Pocito, Argentina",earthquake
2015-07-15T16:31:47.630Z,-14.7211,-76.0079,10,4.9,mb,,131,2.836,0.63,us,us20002xpj,2015-07-16T00:34:17.508Z,"66km SSW of Santiago, Peru",earthquake
2015-07-15T14:10:03.850Z,-15.6521,41.0996,13.31,5.2,mb,,62,6.742,1.19,us,us20002xnn,2015-07-15T22:29:56.750Z,"78km SSE of Ilha de Mocambique, Mozambique",earthquake
2015-07-15T13:00:03.200Z,19.1625,-67.7817,50,4.3,Ml,19,237.6,0.82555175,0.87,pr,pr15196001,2015-07-15T21:02:36.976Z,"91km NE of Punta Cana, Dominican Republic",earthquake
2015-07-15T11:25:59.980Z,27.3508,65.9684,10,5.5,mb,,54,7.637,1.15,us,us20002xn1,2015-07-17T16:06:58.000Z,"79km WSW of Khuzdar, Pakistan",earthquake
2015-07-15T09:22:26.490Z,16.281,-96.7735,49.35,4.6,mb,,189,2.137,0.98,us,us20002xle,2015-07-15T09:50:33.227Z,"12km WSW of Santa Cruz Xitla, Mexico",earthquake
2015-07-15T08:08:48.680Z,40.2404,142.4126,29.22,4.6,mb,,134,1.432,1.14,us,us20002xkm,2015-07-15T16:11:30.875Z,"77km NNE of Miyako, Japan",earthquake
2015-07-15T08:01:07.200Z,33.2278,139.5236,10,4.8,mb,,76,0.268,1.18,us,us20002xkh,2015-07-15T16:03:38.133Z,"30km WNW of Hachijo-jima, Japan",earthquake
2015-07-15T07:38:49.270Z,35.7198,4.5556,10,4,mb,,191,3.897,1.44,us,us20002xky,2015-07-15T21:47:25.492Z,"1km NE of M'Sila, Algeria",earthquake
2015-07-15T07:22:54.620Z,13.0191,143.9964,57.38,4.7,mb,,139,1.02,0.62,us,us20002xki,2015-07-15T15:25:43.621Z,"77km WSW of Merizo Village, Guam",earthquake
2015-07-15T02:59:56.150Z,51.7555,-173.9289,47.07,4.5,mb,,100,0.476,0.86,us,us20002xjf,2015-07-16T02:51:11.397Z,"52km SSE of Atka, Alaska",earthquake
2015-07-14T23:26:57.140Z,6.81,-73.0024,145.9,4.7,mb,,60,0.914,1.11,us,us20002xih,2015-07-15T07:29:27.933Z,"13km N of Aratoca, Colombia",earthquake
2015-07-14T15:42:51.270Z,39.2109,144.6712,34.36,4.7,mb,,115,3.028,0.54,us,us20002xe9,2015-07-14T18:44:19.589Z,"236km E of Yamada, Japan",earthquake
2015-07-14T14:35:51.450Z,35.8464,70.9862,88.5,4.7,mb,,65,1.318,0.79,us,us20002xdw,2015-07-14T22:38:27.422Z,"27km SE of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake
2015-07-14T13:20:50.700Z,-11.1505,111.2422,27.09,4.9,mb,,52,3.294,0.79,us,us20002xdn,2015-07-14T21:23:25.302Z,"South of Java, Indonesia",earthquake
2015-07-14T13:16:35.860Z,37.4147,141.7115,39.17,4.7,mb,,145,0.86,0.45,us,us20002xdl,2015-07-15T00:15:46.188Z,"63km E of Namie, Japan",earthquake
2015-07-14T13:14:11.320Z,15.6116,-92.5516,147.61,4.8,mb,,132,0.776,1.12,us,us20002xdk,2015-07-14T15:50:25.776Z,"29km SE of Nueva Palestina, Mexico",earthquake
2015-07-14T12:34:09.960Z,-7.2339,154.5731,35,4.9,mb,,92,3.858,1.03,us,us20002xdi,2015-07-14T20:36:52.087Z,"143km SW of Panguna, Papua New Guinea",earthquake
2015-07-14T12:29:14.920Z,37.7152,77.8669,41.8,4.4,mb,,94,4.931,0.9,us,us20002xdf,2015-07-14T20:31:42.712Z,"60km ESE of Yilkiqi, China",earthquake
2015-07-14T06:45:40.570Z,-8.3441,121.205,206.32,4.8,mb,,75,1.061,1.16,us,us20002xcx,2015-07-14T14:48:13.872Z,"13km NNE of Tungguwaneng, Indonesia",earthquake
2015-07-14T06:07:24.180Z,37.4318,78.191,40.72,4.5,mb,,174,5.507,0.52,us,us20002xcs,2015-07-14T14:10:01.146Z,"101km SE of Yilkiqi, China",earthquake
2015-07-14T04:46:41.860Z,-24.1625,-67.1276,184.57,4.3,mb,,39,2.25,1.31,us,us20002xci,2015-07-14T12:49:21.795Z,"82km W of San Antonio de los Cobres, Argentina",earthquake
2015-07-14T02:10:08.810Z,-9.5141,154.3109,24.3,4.8,mb,,114,7.055,1.22,us,us20002xc4,2015-07-14T10:12:52.365Z,"182km ESE of Kulumadau, Papua New Guinea",earthquake
2015-07-14T01:25:39.760Z,18.5034,-103.0811,65.89,4.7,mb,,187,2.089,0.99,us,us20002xbw,2015-07-14T03:41:04.099Z,"31km SSE of Coalcoman de Matamoros, Mexico",earthquake
2015-07-13T23:44:44.370Z,11.7098,46.2822,10,4.6,mb,,128,3.37,1.4,us,us20002xbn,2015-07-14T07:47:14.496Z,"169km NW of Ceerigaabo, Somalia",earthquake
2015-07-13T23:35:10.010Z,45.6612,26.4432,147.9,4.1,mb,,56,0.22,0.69,us,us20002xbq,2015-07-14T07:37:49.100Z,"18km SE of Comandau, Romania",earthquake
2015-07-13T23:21:58.470Z,30.9256,141.9979,14.37,5.1,mb,,115,2.864,1.13,us,us20002xbg,2015-07-14T07:24:37.347Z,"Izu Islands, Japan region",earthquake
2015-07-13T21:16:47.430Z,-33.0939,-70.2347,98.52,4.9,mb,,48,0.423,0.74,us,us20002xac,2015-07-14T14:04:47.620Z,"44km SE of Los Andes, Chile",earthquake
2015-07-13T20:16:08.900Z,-55.9859,-28.3503,137.68,5.3,mb,,29,4.971,0.97,us,us20002x9h,2015-07-14T04:18:46.612Z,"106km NW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake
2015-07-13T18:25:07.230Z,39.1297,72.5152,10,4.8,mb,,61,0.654,1.94,us,us20002x6l,2015-07-14T02:27:44.386Z,"86km E of Karakenja, Tajikistan",earthquake
